id,id_detail_plan_tagih,id_top,id_spk_penawaran,id_penawaran,term_payment,persen_payment,nominal_payment,desc_payment,tgl_plan_tagih,urutan,tanggal_actual_plan_tagih,tagih_mundur,alasan_mundur,file_surat_mundur,file_laporan_progress,macet,sts_invoice,created_by,created_date
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 10,4%,15000000, ,2024-01-10, ,2024-01-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 11,4%,15000000, ,2024-02-12, ,2024-02-12,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 12,4%,15000000, ,2024-03-12, ,2024-03-12,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 13,4%,15000000, ,2024-04-22, ,2024-04-22,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 14,4%,15000000, ,2024-05-10, ,2024-05-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 15,4%,15000000, ,2024-06-10, ,2024-06-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 16,4%,15000000, ,2024-07-11, ,2024-07-11,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 17,4%,15000000, ,2024-08-10, ,2024-08-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 18,4%,15000000, ,2024-09-10, ,2024-09-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 19,4%,15000000, ,2024-10-10, ,2024-10-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 20,4%,15000000, ,2024-11-15, ,2024-11-15,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 21,4%,15000000, ,2024-12-10, ,2024-12-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 22,4%,15000000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 23,4%,15000000, ,2025-02-10, ,2025-02-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VI/23, ,Penagihan 24,4%,15000000, ,2025-03-10, ,2025-03-10,, , , , , , ,
, , ,087/STM/MKT-SPK/VII/25, ,Penagihan 1,100%,12000000, ,2025-04-10, ,2025-04-10,, , , , , , ,
, , ,088/STM/MKT-SPK/VII/25, ,Penagihan 1,20%,16400000, ,2025-05-10, ,2025-05-10,, , , , , , ,
, , ,088/STM/MKT-SPK/VII/25, ,Penagihan 2,50%,41000000, ,2025-06-10, ,2025-06-10,, , , , , , ,
, , ,088/STM/MKT-SPK/VII/25, ,Penagihan 3,30%,24600000, ,2025-07-10, ,2025-07-10,, , , , , , ,
